city_id,city_name,date,summary,day_number,place_order,place_name,latitude,longitude,travel_minutes_from_prev,travel_mode_from_prev,weather_code,description
3067696,Prague,2026-06-04,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",1,1,Staroměstská radnice,50.0869785,14.4202934,,,3,"Historic Old Town Hall in Prague's center."
3067696,Prague,2026-06-04,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",1,2,Lokál Dlouhááá,50.0906955,14.4257576,14,walking,3,"Popular Czech restaurant and beer hall on Dlouhá."
3067696,Prague,2026-06-04,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",1,3,Prague Beer Museum,50.0850716,14.4140043,17,walking,3,"Beer-focused bar with a large local selection."
3067696,Prague,2026-06-04,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",1,4,Karlův most,50.0869957,14.4079481,9,walking,3,"Iconic Charles Bridge over the Vltava."
3067696,Prague,2026-06-04,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",1,5,Hemingway Bar,50.0840101,14.4143205,15,walking,3,"Cocktail bar known for classics and absinthe."
3067696,Prague,2026-06-04,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",1,6,James Dean Prague,50.0894885,14.4222256,14,walking,3,"Retro American-style bar and club."
3067696,Prague,2026-06-04,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",1,7,Karlovy Lázně,50.0846856,14.4136736,8,walking,3,"Large multi-floor nightclub near the river."
3067696,Prague,2026-06-04,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",1,8,Double Trouble Bar,50.0859247,14.4204885,21,walking,3,"Lively late-night bar in Old Town."
3067696,Prague,2026-06-04,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",1,9,Burrito Loco Dlouhá,50.0905200,14.4255200,13,walking,3,"Fast late-night burrito stop in central Prague."
3067696,Prague,2026-06-05,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",2,1,Václavské náměstí,50.0815867,14.4271699,,,2,"Wenceslas Square, one of Prague's main public spaces."
3067696,Prague,2026-06-05,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",2,2,Výtopna Railway Restaurant,50.0801481,14.4285752,14,walking,2,"Restaurant where drinks arrive by model train."
3067696,Prague,2026-06-05,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",2,3,Františkánská zahrada,50.0821512,14.4239304,22,walking,2,"Quiet garden tucked behind the busy center."
3067696,Prague,2026-06-05,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",2,4,Vinohradský Pivovar,50.0753123,14.4574230,13,walking,2,"Brewpub serving Czech beer and hearty food."
3067696,Prague,2026-06-05,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",2,5,Riegrovy Sady Beer Garden,50.0787000,14.4420000,13,walking,2,"Beer garden with broad park views toward the city."
3067696,Prague,2026-06-05,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",2,6,Lucerna Music Bar,50.0812690,14.4253203,20,walking,2,"Long-running music venue and nightlife spot."
3067696,Prague,2026-06-05,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",2,7,Duplex Prague,50.0824067,14.4268404,9,walking,2,"Rooftop club overlooking Wenceslas Square."
3067696,Prague,2026-06-05,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",2,8,Nebe Cocktail & Music Bar,50.0878500,14.4308385,14,walking,2,"Central cocktail bar with a late-night vibe."
3067696,Prague,2026-06-05,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",2,9,Pizza Go Home,50.0885000,14.4310000,8,walking,2,"Late-night pizza stop near the city center."
3067696,Prague,2026-06-06,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",3,1,Letenské sady,50.0964560,14.4271746,,,3,"Large hillside park with classic Prague views."
3067696,Prague,2026-06-06,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",3,2,Letná Beer Garden,50.0959760,14.4256671,18,walking,3,"Open-air beer garden inside Letná park."
3067696,Prague,2026-06-06,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",3,3,Vnitroblock,50.1022405,14.4493201,17,walking,3,"Creative complex with cafe and events space."
3067696,Prague,2026-06-06,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",3,4,SaSaZu Restaurant,50.0993805,14.4439989,15,walking,3,"Stylish restaurant and nightlife venue in Holešovice."
3067696,Prague,2026-06-06,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",3,5,Cobra Bar,50.0992442,14.4321173,16,walking,3,"Neighborhood bar popular for drinks and brunch."
3067696,Prague,2026-06-06,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",3,6,Cross Club,50.1082927,14.4432281,16,walking,3,"Industrial-style club known for electronic music."
3067696,Prague,2026-06-06,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",3,7,Fuchs2,50.0953000,14.4362000,23,walking,3,"Club and cultural venue on Štvanice island."
3067696,Prague,2026-06-06,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",3,8,Bike Jesus,50.0952223,14.4363506,25,walking,3,"Riverside bar and club space on Štvanice."
3067696,Prague,2026-06-06,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",3,9,Bistro Holešovice Non-Stop,50.1005000,14.4425000,12,walking,3,"Casual late-night food stop in Holešovice."
3067696,Prague,2026-06-07,"A four-day Prague mock itinerary focused on walkable neighborhoods, bars, and nightlife.",4,1,Žižkovská televizní věž,50.0810217,14.4510584,,,2,"The Žižkov TV Tower and observatory."
